epoch,segment,local_epoch,mode,query_id,continuation_k,query,state,used_cache,rho,kappa,eta,reason,kappa_recomputed,in_warning
7,0,7,exact,15,5,h_i,exact,0,nan,nan,nan,exact,0,0
7,0,7,exact,16,4,h_i,exact,0,nan,nan,nan,exact,0,0
7,0,7,exact,17,3,h_i,exact,0,nan,nan,nan,exact,0,0
7,0,7,exact,18,2,h_i,exact,0,nan,nan,nan,exact,0,0
7,0,7,exact,19,1,h_i,exact,0,nan,nan,nan,exact,0,0
8,0,8,exact,0,20,h_i,exact,0,nan,nan,nan,exact,0,0
8,0,8,exact,1,19,h_i,exact,0,nan,nan,nan,exact,0,0
8,0,8,exact,2,18,h_i,exact,0,nan,nan,nan,exact,0,0
8,0,8,exact,3,17,h_i,exact,0,nan,nan,nan,exact,0,0
8,0,8,exact,4,16,h_i,exact,0,nan,nan,nan,exact,0,0
8,0,8,exact,5,15,h_i,exact,0,nan,nan,nan,exact,0,0
8,0,8,exact,6,14,h_i,exact,0,nan,nan,nan,exact,0,0
8,0,8,exact,7,13,h_i,exact,0,nan,nan,nan,exact,0,0
8,0,8,exact,8,12,h_i,exact,0,nan,nan,nan,exact,0,0
8,0,8,exact,9,11,h_i,exact,0,nan,nan,nan,exact,0,0
8,0,8,exact,10,10,h_i,exact,0,nan,nan,nan,exact,0,0
8,0,8,exact,11,9,h_i,exact,0,nan,nan,nan,exact,0,0
8,0,8,exact,12,8,h_i,exact,0,nan,nan,nan,exact,0,0
8,0,8,exact,13,7,h_i,exact,0,nan,nan,nan,exact,0,0
8,0,8,exact,14,6,h_i,exact,0,nan,nan,nan,exact,0,0
8,0,8,exact,15,5,h_i,exact,0,nan,nan,nan,exact,0,0
8,0,8,exact,16,4,h_i,exact,0,nan,nan,nan,exact,0,0
8,0,8,exact,17,3,h_i,exact,0,nan,nan,nan,exact,0,0
8,0,8,exact,18,2,h_i,exact,0,nan,nan,nan,exact,0,0
8,0,8,exact,19,1,h_i,exact,0,nan,nan,nan,exact,0,0
9,0,9,exact,0,20,h_i,exact,0,nan,nan,nan,exact,0,0
9,0,9,exact,1,19,h_i,exact,0,nan,nan,nan,exact,0,0
9,0,9,exact,2,18,h_i,exact,0,nan,nan,nan,exact,0,0
9,0,9,exact,3,17,h_i,exact,0,nan,nan,nan,exact,0,0
9,0,9,exact,4,16,h_i,exact,0,nan,nan,nan,exact,0,0
9,0,9,exact,5,15,h_i,exact,0,nan,nan,nan,exact,0,0
9,0,9,exact,6,14,h_i,exact,0,nan,nan,nan,exact,0,0
9,0,9,exact,7,13,h_i,exact,0,nan,nan,nan,exact,0,0
9,0,9,exact,8,12,h_i,exact,0,nan,nan,nan,exact,0,0
9,0,9,exact,9,11,h_i,exact,0,nan,nan,nan,exact,0,0
9,0,9,exact,10,10,h_i,exact,0,nan,nan,nan,exact,0,0
