segment,best_train_loss,executed_loss
0,5.697426331607858e-06,5.6974557248145145e-06
1,5.366144705476472e-06,5.36615132755329e-06
2,1.2556838555610739e-06,1.2556922378242456e-06
3,4.392968548927456e-07,4.3928979778395744e-07
4,1.5603590952650848e-07,1.5603608165613336e-07
