epoch,segment,local_epoch,mode,loss,rmse,implicit_grad_seconds,n_adjoint_queries,used_cache,sto_cache_hits,sto_exact_queries,sto_cache_hit_rate,rho,rho_max_seen,kappa,eta,eta_max_seen,reason,grad_rate_norm,sto_kappa_recomputes,sto_warning_queries,midpoint_x,midpoint_y
0,0,0,exact,0.005201500840485096,0.07212143121489684,0.053032240000902675,100,0,0,100,0.0,nan,nan,nan,nan,nan,exact,0.008558575654622333,0,0,0.5,-0.17103464455077652
1,0,1,exact,0.005180092994123697,0.07197286290070513,0.054525004990864545,100,0,0,100,0.0,nan,nan,nan,nan,nan,exact,0.008489993528004615,0,0,0.5006373142444714,-0.16970795320305773
2,0,2,exact,0.00515842204913497,0.07182215569818946,0.05369064099795651,100,0,0,100,0.0,nan,nan,nan,nan,nan,exact,0.008462388025240136,0,0,0.5006106841858183,-0.16929420271691117
3,0,3,exact,0.005136198364198208,0.07166727540654945,0.06130753400793765,100,0,0,100,0.0,nan,nan,nan,nan,nan,exact,0.008445885292535048,0,0,0.500401388187463,-0.16912603913122762
4,0,4,exact,0.005113501567393541,0.07150875168392706,0.05888448499899823,100,0,0,100,0.0,nan,nan,nan,nan,nan,exact,0.008434206364601122,0,0,0.5001078183085356,-0.16906683952012455
5,0,5,exact,0.00509038707241416,0.07134694858516487,0.05542769499879796,100,0,0,100,0.0,nan,nan,nan,nan,nan,exact,0.008424513348756345,0,0,0.49977375609259295,-0.1690554734357486
6,0,6,exact,0.0050668781623244286,0.0711820072934476,0.0986603179917438,100,0,0,100,0.0,nan,nan,nan,nan,nan,exact,0.008414942212907424,0,0,0.49942776298844277,-0.1690517078416531
7,0,7,exact,0.005042969714850187,0.07101386987659655,0.058527556000626646,100,0,0,100,0.0,nan,nan,nan,nan,nan,exact,0.008403912528348262,0,0,0.49909376088275115,-0.16902153098712197
8,0,8,exact,0.005018636118620634,0.07084233281464293,0.056173024990130216,100,0,0,100,0.0,nan,nan,nan,nan,nan,exact,0.008390140767224094,0,0,0.498791422950097,-0.16893667057649536
9,0,9,exact,0.004993846639990807,0.07066715389762634,0.05300044399336912,100,0,0,100,0.0,nan,nan,nan,nan,nan,exact,0.008372885488780511,0,0,0.4985319709279371,-0.16878060466817785
10,0,10,exact,0.0049685831181705,0.0704881771517075,0.06586836799397133,100,0,0,100,0.0,nan,nan,nan,nan,nan,exact,0.008352064799753518,0,0,0.49831675739824505,-0.16855068326491127
11,0,11,exact,0.004942843224853277,0.07030535701390953,0.05917142100224737,100,0,0,100,0.0,nan,nan,nan,nan,nan,exact,0.008328297882682826,0,0,0.49813642011185266,-0.16825948584769695
