epoch,segment,local_epoch,mode,loss,rmse,implicit_grad_seconds,n_adjoint_queries,used_cache,sto_cache_hits,sto_exact_queries,sto_cache_hit_rate,rho,rho_max_seen,kappa,eta,eta_max_seen,reason,grad_rate_norm,sto_kappa_recomputes,sto_warning_queries,midpoint_x,midpoint_y
0,0,0,sto,0.005201500840485096,0.07212143121489684,0.31046561000403017,100,0,0,100,0.0,nan,nan,inf,nan,nan,cold_start,0.008558575654622333,0,0,0.5,-0.17103464455077652
1,0,1,sto,0.005180092994123697,0.07197286290070513,0.05980918799468782,100,1,100,0,1.0,0.0002220738866449251,0.019747201156165583,1029.28552214689,0.22857743637051098,25.1696245071124,cache_hit,0.008517541235326512,0,0,0.5006373142444714,-0.16970795320305773
2,0,2,sto,0.005158373154699802,0.07182181531192178,0.05508611501136329,100,1,100,0,1.0,0.00029028084803658076,0.02878136684834321,1029.28552214689,0.298781874240574,36.301198008627836,cache_hit,0.008490193445573575,0,0,0.5005555317591457,-0.16937112815837707
3,0,3,sto,0.005136136896908283,0.07166684656735137,0.05925063100585248,100,1,100,0,1.0,0.0004021288943002346,0.043154440332591755,1029.28552214689,0.41390544894016845,53.14064268624112,cache_hit,0.008465111706365576,0,0,0.5003285142005657,-0.16922788019249613
4,0,4,sto,0.00511346897110343,0.0715085237653766,0.056268610002007335,100,1,100,0,1.0,0.0005573786351874475,0.06292067631611101,1029.28552214689,0.5737017595524327,74.10614239938266,cache_hit,0.00844030708924308,0,0,0.5000660392796887,-0.1691251922893283
5,0,5,sto,0.005090417340397835,0.07134716070312704,0.051379318989347667,100,1,100,0,1.0,0.0007289810896312649,0.0834601458294555,1029.28552214689,0.7503296814763253,96.53257107032172,cache_hit,0.008414271328412552,0,0,0.4998391411276639,-0.16896322595627805
6,0,6,sto,0.005067015998065472,0.07118297547915141,0.05668091900588479,100,1,100,0,1.0,0.000898685804811473,0.10315284742384391,1029.28552214689,0.9250042878513749,118.64714039626803,cache_hit,0.008385778672787097,0,0,0.4996976262282524,-0.1686712081207486
7,0,7,sto,0.005043312907218933,0.07101628621111451,0.05152768999687396,100,1,100,0,1.0,0.0010602777657220876,0.12157354565640777,1029.28552214689,1.0913285537119968,139.9119514592283,cache_hit,0.008354518729477914,0,0,0.49965023292752603,-0.16823566355994118
8,0,8,sto,0.005019352305680513,0.07084738743016931,0.06199549800658133,100,1,100,0,1.0,0.0012179346687398555,0.1391904339095172,1029.28552214689,1.2536025214547015,160.69581316076875,cache_hit,0.008321061440798071,0,0,0.4996699098660594,-0.1676935603823277
9,0,9,sto,0.0049951206892728806,0.070676167760235,0.08871960299438797,100,1,100,0,1.0,0.0013769273965399719,0.1568149038272299,1029.28552214689,1.4172514343060028,181.6727598437233,cache_hit,0.008286364954021195,0,0,0.49971319358804844,-0.16710545153672912
