epoch,segment,local_epoch,loss,rmse,implicit_grad_seconds,cumulative_backward_seconds,grad_rate_norm,n_adjoint_queries,sto_cache_hit_rate,sto_cache_hits,sto_exact_queries,sto_kappa_recomputes,rho_max_seen,kappa,eta_max_seen,reason
0,0,0,0.005201500840485096,0.07212143121489684,0.31046561000403017,0.31046561000403017,0.008558575654622333,100,0.0,0,100,0,nan,inf,nan,cold_start
1,0,1,0.005180092994123697,0.07197286290070513,0.05980918799468782,0.370274797998718,0.008517541235326512,100,1.0,100,0,0,0.019747201156165583,1029.28552214689,25.1696245071124,cache_hit
2,0,2,0.005158373154699802,0.07182181531192178,0.05508611501136329,0.4253609130100813,0.008490193445573575,100,1.0,100,0,0,0.02878136684834321,1029.28552214689,36.301198008627836,cache_hit
3,0,3,0.005136136896908283,0.07166684656735137,0.05925063100585248,0.48461154401593376,0.008465111706365576,100,1.0,100,0,0,0.043154440332591755,1029.28552214689,53.14064268624112,cache_hit
4,0,4,0.00511346897110343,0.0715085237653766,0.056268610002007335,0.5408801540179411,0.00844030708924308,100,1.0,100,0,0,0.06292067631611101,1029.28552214689,74.10614239938266,cache_hit
5,0,5,0.005090417340397835,0.07134716070312704,0.051379318989347667,0.5922594730072888,0.008414271328412552,100,1.0,100,0,0,0.0834601458294555,1029.28552214689,96.53257107032172,cache_hit
6,0,6,0.005067015998065472,0.07118297547915141,0.05668091900588479,0.6489403920131736,0.008385778672787097,100,1.0,100,0,0,0.10315284742384391,1029.28552214689,118.64714039626803,cache_hit
7,0,7,0.005043312907218933,0.07101628621111451,0.05152768999687396,0.7004680820100475,0.008354518729477914,100,1.0,100,0,0,0.12157354565640777,1029.28552214689,139.9119514592283,cache_hit
8,0,8,0.005019352305680513,0.07084738743016931,0.06199549800658133,0.7624635800166288,0.008321061440798071,100,1.0,100,0,0,0.1391904339095172,1029.28552214689,160.69581316076875,cache_hit
9,0,9,0.0049951206892728806,0.070676167760235,0.08871960299438797,0.8511831830110168,0.008286364954021195,100,1.0,100,0,0,0.1568149038272299,1029.28552214689,181.6727598437233,cache_hit
10,0,10,0.004970526322722435,0.07050195970838283,0.06797353600268252,0.9191567190136993,0.008251364623999492,100,1.0,100,0,0,0.17521699814414507,1029.28552214689,203.45157873344561,cache_hit
11,0,11,0.004945435561239719,0.07032379086226595,0.06630429500364698,0.9854610140173463,0.008216638976162644,100,1.0,100,0,0,0.19489921006426808,1029.28552214689,226.41169946434027,cache_hit
12,0,12,0.00491975387558341,0.07014095719038492,0.07092792500043288,1.0563889390177792,0.00818231988261611,100,1.0,100,0,0,0.21600457914591303,1029.28552214689,250.6756318518702,cache_hit
13,0,13,0.004893453326076269,0.06995322241381215,0.07226892000471707,1.1286578590224963,0.00814824658663801,100,1.0,100,0,0,0.23843241841116453,1029.28552214689,276.19619075708806,cache_hit
14,0,14,0.004866576287895441,0.0697608506821372,0.06564289500238374,1.19430075402488,0.008113971293171988,100,1.0,100,0,0,0.26184883041958223,1029.28552214689,302.73760963482357,cache_hit
15,0,15,0.004839205648750067,0.06956439929123277,0.06937109999125823,1.2636718540161382,0.008078952266395597,100,1.0,100,0,0,0.28583532827424596,1029.28552214689,329.97358555058355,cache_hit
16,0,16,0.004811449442058802,0.06936461231823329,0.06778467900585383,1.331456533021992,0.008042558139132168,100,1.0,100,0,1,0.309914497370144,1029.28552214689,357.5080788717624,cache_hit
17,0,17,0.00478340731933713,0.06916218127949067,0.06743748900771607,1.3988940220297081,0.008004336034245798,100,1.0,100,0,7,0.33376094367446324,1029.28552214689,385.059974733183,cache_hit
