segment,best_train_loss,executed_loss
0,5.572453574131941e-06,5.572487417372701e-06
1,5.170886197447544e-06,5.170885682935002e-06
2,1.1986073786829365e-06,1.1986111486871585e-06
3,4.2725523030640034e-07,4.272573640800908e-07
4,1.5370970629646763e-07,1.537140413990374e-07
